metric_id,display_name,metric_type,business_question,formula,numerator,denominator,grain,filters,null_handling,source_tables,truth_class,caveat,target
published_reference_request_count,Published reference request count,count,What volume did the Townsville publisher report?,SUM(request_count),Published Request Count,Not applicable,One D2 publisher-supplied aggregate row,D2 only,Request Count cannot be null,fact_reference_request_volume,real_public_reference,Reference context only; not Hobart demand and not individual requests,
decision_count,Synthetic decision count,count,How many automated decision paths are represented?,COUNTROWS(fact_decision),Synthetic decision rows,Not applicable,One decision.created event,D6 only,Decision key cannot be null,fact_decision,synthetic_operational,Coverage fixture; not real workload volume,
gate_pass_rate,Synthetic Gate pass rate,rate,What share of generated decisions passed every effective Gate condition?,COUNT(gate_status=pass) / COUNT(decisions),Synthetic decisions with gate_status=pass,All synthetic decision rows,One decision.created event,D6 only,Exclude no rows because gate_status is required,fact_decision,synthetic_operational,Scenario mix is intentionally designed and not a model-quality or council-performance measure,
gate_reject_rate,Synthetic Gate reject rate,rate,What share of generated decisions were rejected?,COUNT(gate_status=reject) / COUNT(decisions),Synthetic decisions with gate_status=reject,All synthetic decision rows,One decision.created event,D6 only,Exclude no rows because gate_status is required,fact_decision,synthetic_operational,Scenario mix is intentionally designed,
gate_escalate_rate,Synthetic Gate escalation rate,rate,What share of generated decisions required human escalation?,COUNT(gate_status=escalate) / COUNT(decisions),Synthetic decisions with gate_status=escalate,All synthetic decision rows,One decision.created event,D6 only,Exclude no rows because gate_status is required,fact_decision,synthetic_operational,Scenario mix is intentionally designed,
review_rate,Synthetic independent review rate,rate,What share of decisions received at least one review?,DISTINCTCOUNT(review.decision_key) / COUNT(decisions),Distinct synthetic decisions represented in fact_review,All synthetic decision rows,One decision for denominator,D6 only,Decisions without a review remain in denominator,fact_decision + fact_review,synthetic_operational,Demonstrates review coverage; not an approved operational control threshold,
override_rate_of_reviewed,Synthetic override rate of reviewed decisions,rate,What share of review events recorded an override?,COUNT(review_action=override) / COUNT(reviews),Synthetic review events with review_action=override,All synthetic review events,One decision.reviewed event,D6 only,Exclude no rows because review_action is required,fact_review,synthetic_operational,Denominator is reviews rather than all decisions,
manual_fallback_rate,Synthetic manual-fallback rate,rate,What share of submission attempts occurred while the provider was disabled?,COUNT(manual_fallback) / (COUNT(decisions) + COUNT(manual_fallback)),Synthetic decision.manual_fallback events,Synthetic decisions plus manual-fallback events,One submission attempt,D6 only,Every attempt must resolve to one decision or one fallback,fact_decision + fact_manual_fallback,synthetic_operational,Resilience exercise prevalence is deliberately injected,
median_review_lag_minutes,Synthetic median review lag,distribution,How long elapsed between a decision and its independent review?,MEDIAN(review_lag_minutes),Review lag minutes,Reviewed synthetic decision events only,One decision.reviewed event,D6 only,Pending decisions do not contribute a lag,fact_review,synthetic_operational,Generated timing pattern; not an SLA or productivity claim,
asset_match_rate_of_eligible,Synthetic asset-match rate,rate,For generated waste decisions with coordinates how often was a D1 asset matched?,COUNT(asset_key present) / COUNT(eligible decisions),Eligible synthetic waste decisions with an asset_key,Synthetic waste decisions with coordinates supplied,One eligible decision,D6 category=waste_litter and coordinates_supplied=1,An absent asset_key counts as not matched,fact_decision + dim_asset,synthetic_operational,Depends on intentionally selected test coordinates and is not geocoding accuracy,
source_quality_warning_count,Source quality warning count,count,How many profiled checks require analytical caution?,COUNT(status=warn),Quality checks with status=warn,Not applicable,One automated source-quality check,D1 and D2 checks,Exclude no rows because status is required,fact_quality_check,real_public_reference,Warnings document limitations and do not imply the source is unusable,
